id,winner
1,WW
2,BW
3,WW
4,WW
5,BW
6,BW
7,WW
8,WW
9,BW
10,BW
11,BW
12,BW
13,BW
14,BW
15,BW
16,BW
17,BW
18,D
19,WW
20,WW
21,BW
22,BW
23,WW
24,WW
25,BW
26,BW
27,BW
28,BW
29,D
30,D
31,B
32,BW
33,B
34,BW
35,BW
36,BW
37,WW
38,WW
39,BW
40,WW
41,WW
42,WW
43,WW
44,BW
45,BW
46,WW
47,WW
48,WW
49,WW
50,WW
51,D
52,WW
53,BW
54,BW
55,WW
56,WW
57,WW
58,WW
59,B
60,WW
61,WW
62,B
63,BW
64,BW
65,BW
66,WW
67,BW
68,BW
69,BW
70,D
71,B
72,WW
73,WW
74,BW
75,BW
76,BW
77,BW
78,WW
79,WW
80,BW
81,BW
82,WW
83,WW
84,BW
85,B
86,BW
87,BW
88,BW
89,BW
90,BW
91,BW
92,WW
93,BW
94,BW
95,WW
96,BW
97,BW
98,BW
99,WW
100,BW
101,BW
102,BW
103,BW
104,WW
105,WW
106,WW
107,BW
108,WW
109,D
110,D
111,WW
112,WW
113,B
114,BW
115,BW
116,WW
117,BW
118,W
119,W
120,W
121,W
122,W
123,W
124,BW
125,BW
126,BW
127,BW
128,BW
129,BW
130,WW
131,WW
132,BW
133,BW
134,BW
135,BW
136,BW
137,D
138,BW
139,B
140,WW
141,B
142,D
143,WW
144,D
145,BW
146,B
147,WW
148,D
149,WW
150,BW
151,B
152,BW
153,BW
154,BW
155,BW
156,BW
157,WW
158,D
159,WW
160,WW
161,D
162,WW
163,WW
164,WW
165,WW
166,BW
167,D
168,D
169,BW
170,WW
171,WW
172,D
173,WW
174,B
175,WW
176,WW
177,WW
178,BW
179,B
180,BW
181,BW
182,BW
183,BW
184,BW
185,WW
186,B
187,BW
188,BW
189,BW
190,WW
191,BW
192,BW
193,BW
194,BW
195,WW
196,BW
197,BW
198,WW
199,BW
200,BW
201,BW
202,BW
203,BW
204,BW
205,BW
206,BW
207,BW
208,BW
209,BW
210,BW
211,BW
212,BW
213,BW
214,BW
215,WW
216,WW
217,WW
218,WW
219,WW
220,WW
221,WW
222,WW
223,B
224,D
225,WW
226,D
227,WW
228,B
229,WW
230,D
231,BW
232,BW
233,BW
234,D
235,BW
236,WW
237,BW
238,BW
239,BW
240,WW
241,B
242,D
243,BW
244,BW
245,WW
246,WW
247,B
248,BW
249,BW
250,WW
251,BW
252,BW
253,D
254,BW
255,BW
256,BW
257,BW
258,WW
259,WW
260,BW
261,BW
262,BW
263,BW
264,BW
265,BW
266,D
267,BW
268,WW
269,WW
270,WW
271,W
272,WW
273,WW
274,WW
275,W
276,W
277,W
278,W
279,W
280,D
281,W
282,W
283,WW
284,BW
285,BW
286,WW
287,WW
288,WW
289,WW
290,D
291,B
292,BW
293,BW
294,BW
295,BW
296,WW
297,BW
298,W
299,D
300,BW
301,BW
302,WW
303,WW
304,D
305,D
306,WW
307,WW
308,BW
309,BW
310,WW
311,D
312,BW
313,BW
314,D
315,D
316,BW
317,WW
318,BW
319,BW
320,BW
321,WW
322,BW
323,BW
324,BW
325,BW
326,BW
327,BW
328,BW
329,BW
330,BW
331,BW
332,WW
333,BW
334,WW
335,B
336,BW
337,WW
338,BW
339,BW
340,BW
341,BW
342,BW
343,BW
344,WW
345,WW
346,BW
347,BW
348,WW
349,WW
350,WW
351,WW
352,WW
353,WW
354,WW
355,WW
356,WW
357,WW
358,WW
